"";"TeamName";"TeamCountry";"TeamCity";"nParticipations";"TeamID";"TeamLongitude";"TeamLatitude"
"1";"13te Legion";"Deutschland";"Olpe";1;1;7,8424193;51,0297603
"2";"1. HaÃÂÃÂlocher Tonnenklopfer";"Deutschland";"HaÃloch";3;2;8,2565755;49,362976
"3";"5.0 Party Crew";"Deutschland";"LÃ¼neburg";3;3;10,4078555;53,248706
"4";"Aachen Jugger";"Deutschland";"Aachen";1;4;6,083862;50,776351
"5";"Affeln mit Waffen";"Deutschland";"Sulzbach-Rosenberg";3;5;11,7470259;49,4992468
"6";"Affen mit Waffeln";"Deutschland";"Sulzbach-Rosenberg";18;6;11,7470259;49,4992468
"7";"Affen mit Waffen";"Deutschland";"Sulzbach-Rosenberg";36;7;11,7470259;49,4992468
"8";"Affen mit Waffen 3";"Deutschland";"Sulzbach-Rosenberg";1;8;11,7470259;49,4992468
"9";"Ahle SÃÂÃÂ¤cke";"Deutschland";"Rotenburg a. d. Fulda";16;9;9,7269936;50,9948584
"10";"AH Mixedup";"Deutschland";"Mixteam";1;10;NA;NA
"11";"Aixcalibur";"Deutschland";"Aachen";2;11;6,083862;50,776351
"12";"Amazonenkinder";"Deutschland";"Jena";34;12;11,5879359;50,9281717
"13";"AmmepÃÂÃÂ¶bel";"Deutschland";"F'hain";1;13;13,4502904;52,5122154
"14";"Amsteljugger";"Nederland";"Amsterdam";3;14;4,89797550561798;52,3745403
"15";"Anarchistische Juggergemeinschaft Deutschland";"Deutschland";"H(H/D)";1;15;9,0086095;49,1321662
"16";"Anima Draconis";"Deutschland";"Berlin";2;16;13,3888599;52,5170365
"17";"Anima Equorum";"Deutschland";"Halle Saale";11;17;11,9705452;51,4825041
"18";"Anima Equorum 2";"Deutschland";"Halle Saale";1;18;11,9705452;51,4825041
"19";"Armageddon";"Deutschland";"NÃ¼rnberg";11;19;12,9118642;48,3619187
"20";"Armageddon II";"Deutschland";"NÃ¼rnberg";1;20;12,9118642;48,3619187
"21";"Assis unter Palmen";"Deutschland";"Mainz - Darmstadt";1;21;NA;NA
"22";"Atoxera 2.0";"Deutschland";"Rotenburg a. d. Fulda";7;22;9,7269936;50,9948584
"23";"Auenland Pudel";"Deutschland";"Heidelberg-Darmstadt";1;23;NA;NA
"24";"Awesome Pirates";"Deutschland";"Leer";23;24;7,46314680378176;53,2473626
"25";"Badass Buccaneers";"Deutschland";"Leer";2;25;7,46314680378176;53,2473626
"26";"Bad Rabbits";"Deutschland";"Lorsch";1;26;8,5682813;49,6546967
"27";"Bananarama";"Deutschland";"Bielefeld";1;27;8,60709241553391;52,04254155
"28";"Barbaren";"Deutschland";"Augsburg";1;28;9,1026652;54,5033271
"29";"Bavarian Mayhem";"Deutschland";"Augsburg";5;29;9,1026652;54,5033271
"30";"Berlin Oldstarz";"Deutschland";"Berlin";1;30;13,3888599;52,5170365
"31";"Berserker";"Deutschland";"Halle Saale";1;31;11,9705452;51,4825041
"32";"Betreuung und BeratungsbÃÂÃÂ¼ro";"Deutschland";"Deutschland";1;32;12,3104346471077;51,308718
"33";"Beulen Eulen";"Deutschland";"SaarbrÃ¼cken";3;33;6,996379;49,234362
"34";"Bildungsurlaub";"Deutschland";"Gatschow";2;34;13,06975;53,8332371
"35";"Bildungsurlaub (G OT D)";"Deutschland";"Demmin";3;35;13,0327836;53,9070019
"36";"Bird of Prey";"Deutschland";"Rethwisch";2;36;10,4447553;53,7828378
"37";"Bird of Prey 2";"Deutschland";"Rethwisch";1;37;10,4447553;53,7828378
"38";"Black and White";"Deutschland";"Augsburg";3;38;9,1026652;54,5033271
"39";"Black Dragons";"EspaÃ±a";"Valencia";1;39;-0,3759512;39,4699014
"40";"Blackout";"Deutschland";"GÃ¶ttingen";21;40;9,9352051;51,5327604
"41";"Black Panthers";"Deutschland";"Lippstadt";1;41;8,347194;51,6747074
"42";"Black Pompfer";"Deutschland";"Nortorf";1;42;9,8559648;54,1684689
"43";"Black Tigers";"Deutschland";"Itzehoe";1;43;9,5155854;53,9250316
"44";"BlaubÃÂÃÂ¤ren";"Deutschland";"Hannover/Paderborn";1;44;NA;NA
"45";"Blue Fangs";"Deutschland";"Frankfurt (Oder)";6;45;14,549452;52,3412273
"46";"BlutgrÃÂÃÂ¤tsche";"Deutschland";"LÃ¼beck";25;46;10,684738;53,866444
"47";"Bob Jugger";"Deutschland";"Karlsruhe";7;47;7,2931076;51,1525383
"48";"Braindead";"Deutschland";"Hausach";2;48;8,174972;48,2836305
"49";"Braunschweig Bier & Brezeln";"Deutschland";"Braunschweig";1;49;10,5252669;52,2639962
"50";"C-54 Skymaster";"Deutschland";"Berlin";1;50;13,3888599;52,5170365
"51";"Calzonenkinder";"Deutschland";"Jena";2;51;11,5879359;50,9281717
"52";"Captura";"Deutschland";"LÃ¼neburg";11;52;10,4078555;53,248706
"53";"Cervisia Ultima";"Deutschland";"Duisburg";35;53;6,759562;51,434999
"54";"ChaOS";"Deutschland";"OsnabrÃ¼ck";3;54;8,049741;52,266837
"55";"ChaosGallier";"Deutschland";"Hausach";1;55;8,174972;48,2836305
"56";"Chimaera Brunsviga";"Deutschland";"Braunschweig";34;56;10,5252669;52,2639962
"57";"Chimaera Brunsviga II";"Deutschland";"Braunschweig";7;57;10,5252669;52,2639962
"58";"Chimera Kraken";"Deutschland";"Mixteam";1;58;NA;NA
"59";"Clausthal Boss Mob";"Deutschland";"Clausthal";1;59;10,3338277;51,8043301
"60";"Cottbus Klatscher";"Deutschland";"Cottbus";8;60;14,3357307;51,7567447
"61";"Crainium Hunters";"Deutschland";"LÃ¼neburg";1;61;10,4078555;53,248706
