"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"1";"1. NRW Turnier";2009-03-22 11:00:00;2009-03-22 17:00:00;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";0;5;1;8,3337762;51,6721709
"2";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";12;11;2;10,385981;53,2595313
"3";"3. Berliner Juggerpokal";2009-04-25 11:00:00;2009-04-26 16:00:00;"Deutschland";"12049";"Berlin";"Danziger StraÃe";"Volkspark Friedrichshain";0;10;3;13,4446174;52,5294363
"4";"1. School's Out der OGS";2009-05-03 10:00:00;2009-05-03 17:00:00;"Deutschland";"24589";"Nortorf";"Marienburger StraÃe 47-49";"SportgelÃ¤nde der OGS";4;4;4;9,8450968;54,166312
"5";"4. Schleswig-Holstein Meisterschaft";2009-05-09 10:00:00;2009-05-10 16:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";0;15;5;10,4401006536605;53,78423965
"6";"7. Badische Meisterschaft";2009-05-23 11:00:00;2009-05-23 20:00:00;"Deutschland";"79110";"Freiburg";"FalkenbergerstraÃe 21";"Bolzplatz bei Ãkostation";0;8;6;7,8238526;48,0138942
"7";"2. ThÃ¼ringer Meisterschaft";2009-06-06 10:00:00;2009-06-07 20:00:00;"Deutschland";"07743";"Jena";"An der Oberaue 1";"Jena";0;7;7;11,5836561;50,9180893
"8";"2. Niedersachsen Meisterschaft";2009-06-12 15:00:00;2009-06-14 16:00:00;"Deutschland";"21339";"LÃ¼neburg";"Ebelingweg 2";"LÃ¼neburg";0;23;8;10,3892677;53,2611468
"9";"10. Bayerische Meisterschaft";2009-06-20 10:00:00;2009-06-21 00:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"SportgelÃ¤nde des TSV Waidhaus";12;8;9;12,4967105;49,6400456
"10";"2. WestfÃ¤lische Meisterschaft";2009-07-04 10:00:00;2009-07-05 15:00:00;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";0;20;10;8,3337762;51,6721709
"11";"2. Oldenburger Kreismeisteschaft";2009-07-11 09:00:00;2009-07-11 20:00:00;"Deutschland";"26135";"Oldenburg";"Schlosswall / GartenstraÃe";"Schlossgarten zu Oldenburg";0;9;11;NA;NA
