"";"TournamentName";"TournamentStart";"TournamentEnd";"maxParticipants";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"Rank";"TeamName";"TeamCountry";"TeamCity";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude";"nParticipations";"TeamID";"TeamLongitude";"TeamLatitude"
"1";"1. NRW Turnier";2009-03-22 11:00:00;2009-03-22 17:00:00;0;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";1;"Trollfaust";"Deutschland";"Paderborn";5;1;8,3337762;51,6721709;7;439;8,76486977817756;51,71895955
"2";"1. NRW Turnier";2009-03-22 11:00:00;2009-03-22 17:00:00;0;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";2;"Cervisia Ultima";"Deutschland";"Duisburg";5;1;8,3337762;51,6721709;35;53;6,759562;51,434999
"3";"1. NRW Turnier";2009-03-22 11:00:00;2009-03-22 17:00:00;0;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";3;"J-Team Lippstadt";"Deutschland";"Lippstadt";5;1;8,3337762;51,6721709;28;192;8,347194;51,6747074
"4";"1. NRW Turnier";2009-03-22 11:00:00;2009-03-22 17:00:00;0;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";4;"SturmwÃÂ¶lfe";"Deutschland";"Bielefeld";5;1;8,3337762;51,6721709;25;407;8,60709241553391;52,04254155
"5";"1. NRW Turnier";2009-03-22 11:00:00;2009-03-22 17:00:00;0;"Deutschland";"59555";"Lippstadt";"Udener Str.";"Jahn-Sportplatz in Lippstadt";5;"Mad Monkeys";"Deutschland";"Hagen";5;1;8,3337762;51,6721709;34;276;7,4727227;51,357862
"6";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";1;"Last Man Standing";"Deutschland";"Hamburg";11;2;10,385981;53,2595313;33;265;10,000654;53,550341
"7";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";2;"Cruenta Clava";"Deutschland";"LÃ¼neburg";11;2;10,385981;53,2595313;9;66;10,4078555;53,248706
"8";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";3;"W.W.S.A.J";"Deutschland";"Hannover";11;2;10,385981;53,2595313;14;467;9,7385532;52,3744779
"9";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";4;"Spalter";"Deutschland";"Hannover";11;2;10,385981;53,2595313;27;397;9,7385532;52,3744779
"10";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";5;"BlutgrÃÂ¤tsche";"Deutschland";"LÃ¼beck";11;2;10,385981;53,2595313;25;46;10,684738;53,866444
"11";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";6;"Torpedo Tortuga";"Deutschland";"Hamburg";11;2;10,385981;53,2595313;15;436;10,000654;53,550341
"12";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";7;"Crash Kids";"Deutschland";"LÃ¼neburg";11;2;10,385981;53,2595313;10;64;10,4078555;53,248706
"13";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";8;"Keiler";"Deutschland";"Oldenburg";11;2;10,385981;53,2595313;22;245;8,2146017;53,1389753
"14";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";9;"Wadenbeisser";"Deutschland";"LÃ¼beck";11;2;10,385981;53,2595313;6;454;10,684738;53,866444
"15";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";10;"Cranium Hunters";"Deutschland";"LÃ¼neburg";11;2;10,385981;53,2595313;9;63;10,4078555;53,248706
"16";"1. Freundschaftliche Winterspiele";2009-04-04 13:00:00;2009-04-05 16:00:00;12;"Deutschland";"21339";"LÃ¼neburg";"Am WienebÃ¼tteler Weg 14";"Sportpark Kreideberg";11;"Captura";"Deutschland";"LÃ¼neburg";11;2;10,385981;53,2595313;11;52;10,4078555;53,248706
"17";"3. Berliner Juggerpokal";2009-04-25 11:00:00;2009-04-26 16:00:00;0;"Deutschland";"12049";"Berlin";"Danziger StraÃe";"Volkspark Friedrichshain";1;"GrÃÂ¼nanlagen Gorillas";"Deutschland";"Berlin";10;3;13,4446174;52,5294363;1;159;13,3888599;52,5170365
